img_path,mask_path
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (58).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (58)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (302).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (302)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (372).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (372)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (224).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (224)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (205).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (205)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (265).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (265)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (272).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (272)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (144).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (144)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (133).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (133)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (171).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (171)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (48).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (48)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (130).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (130)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (353).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (353)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (197).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (197)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (428).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (428)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (356).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (356)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (116).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (116)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (251).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (251)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (52).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (52)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (35).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (35)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (154).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (154)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (91).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (91)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (104).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (104)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (423).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (423)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (184).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (184)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (293).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (293)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (386).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (386)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (206).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (206)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (313).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (313)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (282).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (282)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (361).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (361)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (229).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (229)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (381).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (381)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (26).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (26)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (44).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (44)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (47).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (47)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (327).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (327)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (212).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (212)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (4).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (4)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (122).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (122)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (139).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (139)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (39).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (39)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (121).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (121)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (130).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (130)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (295).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (295)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (84).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (84)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (88).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (88)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (6).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (6)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (318).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (318)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (76).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (76)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (53).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (53)merged_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (137).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (137)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (315).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (315)merged_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (203).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (203)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (196).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (196)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (226).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (226)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (81).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (81)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (68).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (68)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (245).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (245)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (11).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (11)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (347).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/benign/benign (347)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (141).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (141)_mask.png
Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (189).png,Dataset_BUSI_with_GT/Dataset_BUSI_with_GT/malignant/malignant (189)_mask.png
